C1:1
C2:1
C3:1
C4:1
D1:1
D2:1
D3:1
P1:1
P2:1
P3:1
P4:1
Q1:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
REF**:4
SW2:1
U1:1
U10:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
